,brandid,umlid
2542,4.0,po1000000561
2543,4.0,po1000000146
2544,4.0,po1000003150
2545,4.0,po1000005281
2546,4.0,po1000000144
2547,4.0,po1000000560
2548,4.0,po1000001566
2549,4.0,po1000001565
2550,4.0,po1000004477
2551,4.0,po1000002063
2552,4.0,po1000003486
2553,4.0,po1000000600
2554,4.0,po1000000562
2555,4.0,po1000010802
2556,4.0,po1000010795
2557,4.0,po1000010796
2558,4.0,po1000007453
2559,4.0,po1000002037
2560,4.0,po1000011196
2561,4.0,po1000004284
2562,4.0,po1000001208
2563,4.0,po1000008176
2564,4.0,po1000004483
2565,4.0,po1000001062
2566,4.0,po1000004239
2567,4.0,po1000000411
2568,4.0,po1000004159
2569,4.0,po1000000148
2570,4.0,po1000002637
2571,4.0,po1000000330
2572,4.0,po1000001564
2573,4.0,po1000004423
2574,4.0,po1000004372
2575,4.0,po1000000355
2576,4.0,po1000004176
2577,4.0,po1000004408
2578,4.0,po1000004179
2579,4.0,po1000009014
2580,4.0,po1000004842
2581,4.0,po1000001637
2582,4.0,po1000004410
2583,4.0,po1000004195
2584,4.0,po1000005868
2585,4.0,po1000004495
2586,4.0,po1000004336
2587,4.0,po1000001383
2588,4.0,po1000007524
2589,4.0,po1000004493
2590,4.0,po1000004259
2591,4.0,po1000004421
2592,4.0,po1000010039
2593,4.0,po1000004385
2594,4.0,po1000005202
2595,4.0,po1000004435
2596,4.0,po1000006173
2597,4.0,po1000004225
2598,4.0,po1000008234
2599,4.0,po1000010074
2600,4.0,po1000004154
2601,4.0,po1000004075
2602,4.0,po1000007661
2603,4.0,po1000002063
2604,4.0,po1000008619
2605,4.0,po1000004253
2606,4.0,po1000001784
2607,4.0,po1000004452
2608,4.0,po1000001061
2609,4.0,po1000008429
2610,4.0,po1000004465
2611,4.0,po1000007619
2612,4.0,po1000004392
2613,4.0,po1000010015
2614,4.0,po1000004482
2615,4.0,po1000004153
2616,4.0,po1000004337
2617,4.0,po1000000567
2618,4.0,po1000011182
2619,4.0,po1000004444
2620,4.0,po1000010255
2621,4.0,po1000005442
2622,4.0,po1000000058
2623,4.0,po1000004434
2624,4.0,po1000004110
2625,4.0,po1000004094
2626,4.0,po1000004090
2627,4.0,po1000000317
2628,4.0,po1000007653
2629,4.0,po1000004246
2630,4.0,po1000004459
2631,4.0,po1000004169
2632,4.0,po1000007594
2633,4.0,po1000004450
2634,4.0,po1000008199
2635,4.0,po1000004470
2636,4.0,po1000004864
2637,4.0,po1000008162
2638,4.0,po1000004365
2639,4.0,po1000008215
2640,4.0,po1000004157
2641,4.0,po1000011196
2642,4.0,po1000006365
2643,4.0,po1000000184
2644,4.0,po1000006144
2645,4.0,po1000004386
2646,4.0,po1000010052
2647,4.0,po1000008231
2648,4.0,po1000004119
2649,4.0,po1000004860
2650,4.0,po1000007568
2651,4.0,po1000000530
2652,4.0,po1000004415
2653,4.0,po1000007600
2654,4.0,po1000001065
2655,4.0,po1000008226
2656,4.0,po1000008269
2657,4.0,po1000007637
2658,4.0,po1000004455
2659,4.0,po1000008290
2660,4.0,po1000004498
2661,4.0,po1000008397
2662,4.0,po1000011184
2663,4.0,po1000001342
2664,4.0,po1000008147
2665,4.0,po1000006246
2666,4.0,po1000004192
2667,4.0,po1000000106
2668,4.0,po1000000279
2669,4.0,po1000002913
2670,4.0,po1000004129
2671,4.0,po1000001250
2672,4.0,po1000000600
2673,4.0,po1000003004
2674,4.0,po1000008197
2675,4.0,po1000004563
2676,4.0,po1000003210
2677,4.0,po1000004523
2678,4.0,po1000004312
2679,4.0,po1000007540
2680,4.0,po1000004567
2681,4.0,po1000007473
2682,4.0,po1000010030
2683,4.0,po1000004565
2684,4.0,po1000002335
2685,4.0,po1000004524
2686,4.0,po1000004571
2687,4.0,po1000002356
2688,4.0,po1000004135
2689,4.0,po1000004573
2690,4.0,po1000006161
2691,4.0,po1000004477
2692,4.0,po1000004093
2693,4.0,po1000006348
2694,4.0,po1000008135
2695,4.0,po1000003112
2696,4.0,po1000008583
2697,4.0,po1000004296
2698,4.0,po1000008388
2699,4.0,po1000007646
2700,4.0,po1000004309
2701,4.0,po1000004541
2702,4.0,po1000003927
2703,4.0,po1000001079
2704,4.0,po1000001372
2705,4.0,po1000007586
2706,4.0,po1000004582
2707,4.0,po1000004321
2708,4.0,po1000008165
2709,4.0,po1000007534
2710,4.0,po1000004136
2711,4.0,po1000004207
2712,4.0,po1000004527
2713,4.0,po1000004254
2714,4.0,po1000004320
2715,4.0,po1000003150
2716,4.0,po1000004065
2717,4.0,po1000004317
2718,4.0,po1000005580
2719,4.0,po1000004535
2720,4.0,po1000000180
2721,4.0,po1000010252
2722,4.0,po1000008435
2723,4.0,po1000006293
2724,4.0,po1000004504
2725,4.0,po1000005218
2726,4.0,po1000006376
2727,4.0,po1000011193
2728,4.0,po1000004474
2729,4.0,po1000009068
2730,4.0,po1000000170
2731,4.0,po1000004531
2732,4.0,po1000004171
2733,4.0,po1000003491
2734,4.0,po1000004055
2735,4.0,po1000004548
2736,4.0,po1000004437
2737,4.0,po1000007672
2738,4.0,po1000004064
2739,4.0,po1000008411
2740,4.0,po1000008439
2741,4.0,po1000001611
2742,4.0,po1000001631
2743,4.0,po1000008599
2744,4.0,po1000004068
2745,4.0,po1000004555
2746,4.0,po1000004106
2747,4.0,po1000004544
2748,4.0,po1000008423
2749,4.0,po1000004325
2750,4.0,po1000004066
2751,4.0,po1000008620
2752,4.0,po1000006226
2753,4.0,po1000008148
2754,4.0,po1000004292
2755,4.0,po1000004226
2756,4.0,po1000000092
2757,4.0,po1000004857
2758,4.0,po1000003783
2759,4.0,po1000000939
2760,4.0,po1000004510
2761,4.0,po1000000318
2762,4.0,po1000003497
2763,4.0,po1000007509
2764,4.0,po1000000316
2765,4.0,po1000004852
2766,4.0,po1000001278
2767,4.0,po1000004185
2768,4.0,po1000004866
2769,4.0,po1000005206
2770,4.0,po1000004163
2771,4.0,po1000006156
2772,4.0,po1000006266
2773,4.0,po1000004379
2774,4.0,po1000007638
2775,4.0,po1000007453
2776,4.0,po1000008613
2777,4.0,po1000008274
2778,4.0,po1000008424
2779,4.0,po1000004330
2780,4.0,po1000004869
2781,4.0,po1000004092
2782,4.0,po1000004295
2783,4.0,po1000008143
2784,4.0,po1000007616
2785,4.0,po1000008133
2786,4.0,po1000008140
2787,4.0,po1000006251
2788,4.0,po1000000323
2789,4.0,po1000006210
2790,4.0,po1000002320
2791,4.0,po1000004267
2792,4.0,po1000004101
2793,4.0,po1000000320
2794,4.0,po1000004945
2795,4.0,po1000007449
2796,4.0,po1000007442
2797,4.0,po1000000553
2798,4.0,po1000007660
2799,4.0,po1000006652
2800,4.0,po1000008185
2801,4.0,po1000007640
2802,4.0,po1000008137
2803,4.0,po1000007462
2804,4.0,po1000008132
2805,4.0,po1000007432
2806,4.0,po1000005222
2807,4.0,po1000005204
2808,4.0,po1000008589
2809,4.0,po1000002130
2810,4.0,po1000004059
2811,4.0,po1000007533
2812,4.0,po1000004335
2813,4.0,po1000008221
2814,4.0,po1000004868
2815,4.0,po1000009358
2816,4.0,po1000004133
2817,4.0,po1000007610
2818,4.0,po1000008343
2819,4.0,po1000006345
2820,4.0,po1000004532
2821,4.0,po1000010013
2822,4.0,po1000008584
2823,4.0,po1000004373
2824,4.0,po1000009561
2825,4.0,po1000008660
2826,4.0,po1000010815
2827,4.0,po1000004162
2828,4.0,po1000010050
2829,4.0,po1000010882
2830,4.0,po1000010072
2831,4.0,po1000007648
2832,4.0,po1000004056
2833,4.0,po1000010076
2834,4.0,po1000006237
2835,4.0,po1000008434
2836,4.0,po1000008180
2837,4.0,po1000008211
2838,4.0,po1000008586
2839,4.0,po1000000338
2840,4.0,po1000007549
2841,4.0,po1000000286
2842,4.0,po1000010802
2843,4.0,po1000007635
2844,4.0,po1000007626
2845,4.0,po1000010020
2846,4.0,po1000004867
2847,4.0,po1000007463
2848,4.0,po1000004072
2849,4.0,po1000004508
2850,4.0,po1000004514
2851,4.0,po1000004318
2852,4.0,po1000004525
2853,4.0,po1000003976
2854,4.0,po1000001618
2855,4.0,po1000008207
2856,4.0,po1000004946
2857,4.0,po1000008218
2858,4.0,po1000008603
2859,4.0,po1000000325
2860,4.0,po1000007634
2861,4.0,po1000007627
2862,4.0,po1000004427
2863,4.0,po1000007571
2864,4.0,po1000004481
2865,4.0,po1000004467
2866,4.0,po1000005208
2867,4.0,po1000010046
2868,4.0,po1000007598
2869,4.0,po1000006295
2870,4.0,po1000008616
2871,4.0,po1000008392
2872,4.0,po1000004063
2873,4.0,po1000000134
2874,4.0,po1000010069
2875,4.0,po1000007603
2876,4.0,po1000005793
2877,4.0,po1000011300
2878,4.0,po1000008396
2879,4.0,po1000008416
2880,4.0,po1000004843
2881,4.0,po1000004390
2882,4.0,po1000007566
2883,5.0,po1000008154
2884,5.0,po1000006259
2885,5.0,po1000004102
2886,5.0,po1000004351
2887,5.0,po1000010257
2888,5.0,po1000004497
2889,5.0,po1000004493
2890,5.0,po1000001252
2891,5.0,po1000002145
2892,5.0,po1000001564
2893,5.0,po1000006247
2894,5.0,po1000001566
2895,5.0,po1000004461
2896,5.0,po1000004246
2897,5.0,po1000001565
2898,5.0,po1000004554
2899,5.0,po1000008156
2900,5.0,po1000007528
2901,5.0,po1000004072
2902,5.0,po1000008580
2903,5.0,po1000004243
2904,5.0,po1000004507
2905,5.0,po1000004556
2906,5.0,po1000010047
2907,5.0,po1000008215
2908,5.0,po1000010802
2909,5.0,po1000010882
2910,5.0,po1000004858
2911,5.0,po1000008606
2912,5.0,po1000000601
2913,5.0,po1000004093
2914,5.0,po1000008386
2915,5.0,po1000008158
2916,5.0,po1000010815
2917,5.0,po1000000092
2918,5.0,po1000004218
2919,5.0,po1000004365
2920,5.0,po1000004280
2921,5.0,po1000004202
2922,5.0,po1000010056
2923,5.0,po1000004194
2924,5.0,po1000004308
2925,5.0,po1000000326
2926,5.0,po1000004295
2927,5.0,po1000006295
2928,5.0,po1000005202
2929,5.0,po1000004842
2930,5.0,po1000010811
2931,5.0,po1000000325
2932,5.0,po1000000329
2933,5.0,po1000008585
2934,5.0,po1000004557
2935,5.0,po1000004575
2936,5.0,po1000007457
2937,5.0,po1000004513
2938,5.0,po1000004576
2939,5.0,po1000008388
2940,5.0,po1000007549
2941,5.0,po1000008214
2942,5.0,po1000008279
2943,5.0,po1000007468
2944,5.0,po1000010791
2945,5.0,po1000004267
2946,5.0,po1000010028
2947,5.0,po1000008615
2948,5.0,po1000000451
2949,5.0,po1000004274
2950,5.0,po1000008171
2951,5.0,po1000008663
2952,5.0,po1000007640
2953,5.0,po1000008664
2954,5.0,po1000007641
2955,5.0,po1000000054
2956,5.0,po1000001151
2957,5.0,po1000004070
2958,5.0,po1000008407
2959,5.0,po1000000324
2960,5.0,po1000007477
2961,5.0,po1000003782
2962,5.0,po1000006344
2963,5.0,po1000005206
2964,5.0,po1000008151
2965,5.0,po1000001488
2966,5.0,po1000004134
2967,5.0,po1000004533
2968,5.0,po1000010012
2969,5.0,po1000001380
2970,5.0,po1000006340
2971,5.0,po1000004303
2972,5.0,po1000008292
2973,5.0,po1000004482
2974,5.0,po1000007481
2975,5.0,po1000004419
2976,5.0,po1000004864
2977,5.0,po1000004360
2978,5.0,po1000000530
2979,5.0,po1000004352
2980,5.0,po1000008290
2981,5.0,po1000004375
2982,5.0,po1000004488
2983,5.0,po1000004582
2984,5.0,po1000000706
2985,5.0,po1000007642
2986,5.0,po1000004096
2987,5.0,po1000007485
2988,5.0,po1000008147
2989,5.0,po1000004946
2990,5.0,po1000004499
2991,5.0,po1000000021
2992,5.0,po1000007486
2993,5.0,po1000004204
2994,5.0,po1000000107
2995,5.0,po1000004454
2996,5.0,po1000002320
2997,5.0,po1000000095
2998,5.0,po1000008176
2999,5.0,po1000001761
3000,5.0,po1000006188
3001,5.0,po1000008636
3002,5.0,po1000004316
3003,5.0,po1000000953
3004,5.0,po1000008583
3005,5.0,po1000004403
3006,5.0,po1000004335
3007,5.0,po1000004572
3008,5.0,po1000004868
3009,5.0,po1000001611
3010,5.0,po1000001043
3011,5.0,po1000008411
3012,5.0,po1000004865
3013,5.0,po1000006251
3014,5.0,po1000004191
3015,5.0,po1000004056
3016,5.0,po1000006144
3017,5.0,po1000001279
3018,5.0,po1000002913
3019,5.0,po1000009558
3020,5.0,po1000008199
3021,5.0,po1000007623
3022,5.0,po1000007537
3023,5.0,po1000008412
3024,5.0,po1000008613
3025,5.0,po1000008153
3026,5.0,po1000007621
3027,5.0,po1000004160
3028,5.0,po1000000553
3029,5.0,po1000004307
3030,5.0,po1000004313
3031,5.0,po1000004546
3032,5.0,po1000004427
3033,5.0,po1000004318
3034,5.0,po1000008132
3035,5.0,po1000005210
3036,5.0,po1000004153
3037,5.0,po1000004425
3038,5.0,po1000004362
3039,5.0,po1000004374
3040,5.0,po1000004367
3041,5.0,po1000006208
3042,5.0,po1000008423
3043,5.0,po1000004353
3044,5.0,po1000006249
3045,5.0,po1000004311
3046,5.0,po1000004443
3047,5.0,po1000007496
3048,5.0,po1000008161
3049,5.0,po1000002132
3050,5.0,po1000004175
3051,5.0,po1000004155
3052,5.0,po1000004127
3053,5.0,po1000004291
3054,5.0,po1000002037
3055,5.0,po1000000939
3056,5.0,po1000000950
3057,5.0,po1000002088
3058,5.0,po1000004484
3059,5.0,po1000008273
3060,5.0,po1000004198
3061,5.0,po1000007443
3062,5.0,po1000008582
3063,5.0,po1000004491
3064,5.0,po1000007648
3065,5.0,po1000004398
3066,5.0,po1000004422
3067,5.0,po1000004490
3068,5.0,po1000004162
3069,5.0,po1000008193
3070,5.0,po1000010262
3071,5.0,po1000009019
3072,5.0,po1000008383
3073,5.0,po1000010014
3074,5.0,po1000008346
3075,5.0,po1000008271
3076,5.0,po1000008641
3077,5.0,po1000004565
3078,5.0,po1000008228
3079,5.0,po1000004121
3080,5.0,po1000005222
3081,5.0,po1000004190
3082,5.0,po1000008601
3083,5.0,po1000008138
3084,5.0,po1000004570
3085,5.0,po1000007508
3086,5.0,po1000010039
3087,5.0,po1000010078
3088,5.0,po1000008434
3089,5.0,po1000007509
3090,5.0,po1000004526
3091,5.0,po1000008277
3092,5.0,po1000007541
3093,5.0,po1000006328
3094,5.0,po1000002356
3095,5.0,po1000006505
3096,5.0,po1000000319
3097,5.0,po1000010249
3098,5.0,po1000002609
3099,5.0,po1000002608
3100,5.0,po1000004350
3101,5.0,po1000008131
3102,5.0,po1000009580
3103,5.0,po1000004165
3104,5.0,po1000004176
3105,5.0,po1000004511
3106,5.0,po1000001154
3107,5.0,po1000006264
3108,5.0,po1000004487
3109,5.0,po1000004320
3110,5.0,po1000004203
3111,5.0,po1000004260
3112,5.0,po1000006236
3113,5.0,po1000004496
3114,5.0,po1000008611
3115,5.0,po1000008207
3116,5.0,po1000007511
3117,5.0,po1000007515
3118,5.0,po1000010793
3119,5.0,po1000004294
3120,5.0,po1000004286
3121,5.0,po1000006145
3122,5.0,po1000008143
3123,5.0,po1000004128
3124,5.0,po1000004348
3125,5.0,po1000004259
3126,5.0,po1000004852
3127,5.0,po1000004085
3128,5.0,po1000007524
3129,5.0,po1000005793
3130,5.0,po1000001920
3131,5.0,po1000004315
3132,5.0,po1000006984
3133,5.0,po1000008393
3134,5.0,po1000004504
3135,5.0,po1000007653
3136,5.0,po1000004553
3137,5.0,po1000001344
3138,5.0,po1000001740
3139,5.0,po1000005155
3140,5.0,po1000004195
3141,5.0,po1000007463
3142,5.0,po1000004163
3143,5.0,po1000006294
3144,5.0,po1000008268
3145,5.0,po1000006225
3146,5.0,po1000008133
3147,5.0,po1000004065
3148,5.0,po1000004539
3149,5.0,po1000005208
3150,5.0,po1000006182
3151,5.0,po1000004150
3152,5.0,po1000008180
3153,5.0,po1000004075
3154,5.0,po1000007546
3155,5.0,po1000004126
3156,5.0,po1000008619
3157,5.0,po1000004289
3158,5.0,po1000004139
3159,5.0,po1000004329
3160,5.0,po1000004571
3161,5.0,po1000008287
3162,5.0,po1000006977
3163,5.0,po1000007553
3164,5.0,po1000004341
3165,5.0,po1000008345
3166,5.0,po1000004853
3167,5.0,po1000007658
3168,5.0,po1000008227
3169,5.0,po1000001638
3170,5.0,po1000009014
3171,5.0,po1000004205
3172,5.0,po1000005204
3173,5.0,po1000000561
3174,5.0,po1000007569
3175,5.0,po1000003491
3176,5.0,po1000004245
3177,5.0,po1000000144
3178,5.0,po1000006323
3179,5.0,po1000008567
3180,5.0,po1000009021
3181,5.0,po1000008149
3182,5.0,po1000010794
3183,5.0,po1000001060
3184,5.0,po1000006246
3185,5.0,po1000006244
3186,5.0,po1000000184
3187,5.0,po1000004509
3188,5.0,po1000004309
3189,5.0,po1000008185
3190,5.0,po1000008272
3191,5.0,po1000004285
3192,5.0,po1000004489
3193,5.0,po1000004655
3194,5.0,po1000009559
3195,5.0,po1000004106
3196,5.0,po1000007561
3197,5.0,po1000007638
3198,5.0,po1000000315
3199,5.0,po1000001775
3200,5.0,po1000004197
3201,5.0,po1000007474
3202,5.0,po1000008392
3203,5.0,po1000004090
3204,5.0,po1000004475
3205,5.0,po1000001150
3206,5.0,po1000007567
3207,5.0,po1000004492
3208,5.0,po1000006202
3209,5.0,po1000001345
3210,5.0,po1000008285
3211,5.0,po1000001372
3212,5.0,po1000006348
3213,5.0,po1000008239
3214,5.0,po1000008218
3215,5.0,po1000004239
3216,5.0,po1000001057
3217,5.0,po1000008269
3218,5.0,po1000011195
3219,5.0,po1000008152
3220,5.0,po1000008578
3221,5.0,po1000010051
3222,5.0,po1000004078
3223,5.0,po1000004219
3224,5.0,po1000002653
3225,5.0,po1000009557
3226,5.0,po1000004334
3227,5.0,po1000004844
3228,5.0,po1000004541
3229,5.0,po1000004345
3230,5.0,po1000000411
3231,5.0,po1000000330
3232,5.0,po1000007628
3233,5.0,po1000001208
3234,5.0,po1000001256
3235,5.0,po1000004514
3236,5.0,po1000004281
3237,5.0,po1000004438
3238,5.0,po1000007449
3239,5.0,po1000006310
3240,5.0,po1000004297
3241,5.0,po1000004100
3242,5.0,po1000004466
3243,5.0,po1000004060
3244,5.0,po1000007613
3245,5.0,po1000003150
3246,5.0,po1000006346
3247,5.0,po1000004161
3248,5.0,po1000004470
3249,5.0,po1000007453
3250,5.0,po1000007462
3251,5.0,po1000004288
3252,5.0,po1000004389
3253,5.0,po1000003497
3254,5.0,po1000004377
3255,5.0,po1000004327
3256,5.0,po1000004562
3257,5.0,po1000004942
3258,5.0,po1000004110
3259,5.0,po1000007464
3260,5.0,po1000004323
3261,5.0,po1000004390
3262,5.0,po1000007467
3263,5.0,po1000001631
3264,5.0,po1000004107
3265,5.0,po1000010251
3266,5.0,po1000001278
3267,5.0,po1000008164
3268,5.0,po1000008095
3269,5.0,po1000004861
3270,5.0,po1000009020
3271,5.0,po1000007473
3272,5.0,po1000004418
3273,5.0,po1000004337
3274,5.0,po1000008396
3275,5.0,po1000007660
3276,5.0,po1000008398
3277,5.0,po1000007396
3278,5.0,po1000004223
3279,5.0,po1000000829
3280,5.0,po1000008400
3281,5.0,po1000004255
3282,5.0,po1000007984
3283,5.0,po1000004373
3284,5.0,po1000004207
3285,5.0,po1000009355
3286,5.0,po1000008605
3287,5.0,po1000001061
3288,5.0,po1000004449
3289,5.0,po1000008160
3290,5.0,po1000002651
3291,5.0,po1000004380
3292,5.0,po1000001250
3293,5.0,po1000004271
3294,5.0,po1000002147
3295,5.0,po1000003004
3296,5.0,po1000008197
3297,5.0,po1000008210
3298,5.0,po1000008233
3299,5.0,po1000001417
3300,5.0,po1000004544
3301,5.0,po1000004356
3302,5.0,po1000004863
3303,5.0,po1000008589
3304,5.0,po1000004296
3305,5.0,po1000004944
3306,5.0,po1000001207
3307,5.0,po1000008417
3308,5.0,po1000004486
3309,5.0,po1000004452
3310,5.0,po1000010796
3311,5.0,po1000010016
3312,5.0,po1000004498
3313,5.0,po1000004538
3314,5.0,po1000008145
3315,5.0,po1000007535
3316,5.0,po1000006268
3317,5.0,po1000008581
3318,5.0,po1000004451
3319,5.0,po1000004383
3320,5.0,po1000001612
3321,5.0,po1000000283
3322,5.0,po1000010065
3323,5.0,po1000010064
3324,5.0,po1000008159
3325,5.0,po1000005100
3326,5.0,po1000004361
3327,5.0,po1000004378
3328,5.0,po1000004113
3329,5.0,po1000008623
3330,5.0,po1000004277
3331,5.0,po1000007548
3332,5.0,po1000008234
3333,5.0,po1000001637
3334,5.0,po1000004066
3335,5.0,po1000002863
3336,5.0,po1000000314
3337,5.0,po1000000600
3338,5.0,po1000004866
3339,5.0,po1000004446
3340,5.0,po1000008421
3341,5.0,po1000002063
3342,5.0,po1000002198
3343,5.0,po1000004253
3344,5.0,po1000007630
3345,5.0,po1000000143
3346,5.0,po1000004302
3347,5.0,po1000008135
3348,5.0,po1000007622
3349,5.0,po1000008422
3350,5.0,po1000000099
3351,5.0,po1000004548
3352,5.0,po1000008282
3353,5.0,po1000010069
3354,5.0,po1000008608
3355,5.0,po1000008184
3356,5.0,po1000006176
3357,5.0,po1000006153
3358,5.0,po1000004236
3359,5.0,po1000000560
3360,5.0,po1000007559
3361,5.0,po1000004325
3362,5.0,po1000007629
3363,5.0,po1000007523
3364,5.0,po1000004462
3365,5.0,po1000010077
3366,5.0,po1000008165
3367,5.0,po1000010052
3368,5.0,po1000004125
3369,5.0,po1000010010
3370,5.0,po1000004068
3371,5.0,po1000004439
3372,5.0,po1000010011
3373,5.0,po1000003783
3374,5.0,po1000004934
3375,5.0,po1000007568
3376,5.0,po1000002335
3377,5.0,po1000004567
3378,5.0,po1000002676
3379,5.0,po1000008395
3380,5.0,po1000004527
3381,5.0,po1000007572
3382,5.0,po1000001062
3383,5.0,po1000004342
3384,5.0,po1000010048
3385,5.0,po1000009356
3386,5.0,po1000000320
3387,5.0,po1000004189
3388,5.0,po1000004550
3389,5.0,po1000007580
3390,5.0,po1000008397
3391,5.0,po1000004412
3392,5.0,po1000004368
3393,5.0,po1000004376
3394,5.0,po1000007586
3395,5.0,po1000003486
3396,5.0,po1000007448
3397,5.0,po1000008225
3398,5.0,po1000002360
3399,5.0,po1000007591
3400,5.0,po1000004410
3401,5.0,po1000004112
3402,5.0,po1000007625
3403,5.0,po1000007672
3404,5.0,po1000006230
3405,5.0,po1000004387
3406,5.0,po1000000531
3407,5.0,po1000006205
3408,5.0,po1000007626
3409,5.0,po1000004382
3410,5.0,po1000004238
3411,5.0,po1000001058
3412,5.0,po1000006345
3413,5.0,po1000004284
3414,5.0,po1000004214
3415,5.0,po1000004188
3416,5.0,po1000003976
3417,5.0,po1000006226
3418,5.0,po1000007594
3419,5.0,po1000007596
3420,5.0,po1000008566
3421,5.0,po1000002103
3422,5.0,po1000004516
3423,5.0,po1000004441
3424,5.0,po1000004417
3425,5.0,po1000007627
3426,5.0,po1000004545
3427,5.0,po1000009567
3428,5.0,po1000004558
3429,5.0,po1000008128
3430,5.0,po1000008405
3431,5.0,po1000004067
3432,5.0,po1000004560
3433,5.0,po1000004862
3434,5.0,po1000004540
3435,5.0,po1000007602
3436,5.0,po1000004129
3437,5.0,po1000008206
3438,5.0,po1000004312
3439,5.0,po1000004555
3440,5.0,po1000004448
3441,5.0,po1000007603
3442,5.0,po1000004157
3443,5.0,po1000004117
3444,5.0,po1000004225
3445,5.0,po1000007604
3446,5.0,po1000007605
3447,5.0,po1000006147
3448,5.0,po1000008186
3449,5.0,po1000004370
3450,5.0,po1000001251
3451,5.0,po1000000879
3452,5.0,po1000004563
3453,5.0,po1000006159
3454,5.0,po1000002637
3455,5.0,po1000005128
3456,5.0,po1000008074
3457,5.0,po1000005205
3458,5.0,po1000004535
3459,5.0,po1000007600
3460,5.0,po1000004172
3461,5.0,po1000004447
3462,5.0,po1000003120
3463,5.0,po1000007609
3464,5.0,po1000008656
3465,5.0,po1000004230
3466,5.0,po1000006156
3467,5.0,po1000007587
3468,5.0,po1000007610
3469,5.0,po1000004137
3470,5.0,po1000004534
3471,5.0,po1000004332
3472,5.0,po1000004153
3473,5.0,po1000004482
3474,5.0,po1000006259
3475,5.0,po1000008211
3476,5.0,po1000006173
3477,5.0,po1000008397
3478,5.0,po1000008199
3479,5.0,po1000006240
3480,5.0,po1000006239
3481,5.0,po1000004948
3482,5.0,po1000001564
3483,5.0,po1000005442
3484,5.0,po1000004567
3485,5.0,po1000004573
3486,5.0,po1000004477
3487,5.0,po1000001784
3488,5.0,po1000001566
3489,5.0,po1000003112
3490,5.0,po1000004929
3491,5.0,po1000004280
3492,5.0,po1000004277
3493,5.0,po1000005868
3494,5.0,po1000002539
3495,5.0,po1000003210
3496,5.0,po1000000879
3497,5.0,po1000004524
3498,5.0,po1000007585
3499,5.0,po1000004540
3500,5.0,po1000002335
3501,5.0,po1000007604
3502,5.0,po1000006237
3503,5.0,po1000007586
3504,5.0,po1000008159
3505,5.0,po1000004927
3506,5.0,po1000005128
3507,5.0,po1000006147
3508,5.0,po1000008529
3509,5.0,po1000007605
3510,5.0,po1000004268
3511,5.0,po1000004206
3512,5.0,po1000004225
3513,5.0,po1000004066
3514,5.0,po1000008187
3515,5.0,po1000007559
3516,5.0,po1000008644
3517,5.0,po1000007619
3518,5.0,po1000004855
3519,5.0,po1000004331
3520,5.0,po1000004342
3521,5.0,po1000004497
3522,5.0,po1000004495
3523,5.0,po1000008388
3524,5.0,po1000008290
3525,5.0,po1000007524
3526,5.0,po1000004539
3527,5.0,po1000007568
3528,5.0,po1000008145
3529,5.0,po1000008160
3530,5.0,po1000004072
3531,5.0,po1000004337
3532,5.0,po1000004129
3533,5.0,po1000004094
3534,5.0,po1000004507
3535,5.0,po1000004192
3536,5.0,po1000008215
3537,5.0,po1000010802
3538,5.0,po1000010882
3539,5.0,po1000008620
3540,5.0,po1000008606
3541,5.0,po1000007594
3542,5.0,po1000004842
3543,5.0,po1000007432
3544,5.0,po1000004392
3545,5.0,po1000003927
3546,5.0,po1000010052
3547,5.0,po1000000092
3548,5.0,po1000010815
3549,5.0,po1000004185
3550,5.0,po1000000184
3551,5.0,po1000008162
3552,5.0,po1000003004
3553,5.0,po1000010056
3554,5.0,po1000006226
3555,5.0,po1000004571
3556,5.0,po1000000330
3557,5.0,po1000009014
3558,5.0,po1000011306
3559,5.0,po1000006295
3560,5.0,po1000004434
3561,5.0,po1000005202
3562,5.0,po1000000553
3563,5.0,po1000004946
3564,5.0,po1000008581
3565,5.0,po1000004563
3566,5.0,po1000005206
3567,5.0,po1000004408
3568,5.0,po1000004309
3569,5.0,po1000008389
3570,5.0,po1000001062
3571,5.0,po1000007549
3572,5.0,po1000004253
3573,5.0,po1000004481
3574,5.0,po1000010030
3575,5.0,po1000004857
3576,5.0,po1000002637
3577,5.0,po1000001250
3578,5.0,po1000007473
3579,5.0,po1000004242
3580,5.0,po1000004860
3581,5.0,po1000007590
3582,5.0,po1000007640
3583,5.0,po1000002063
3584,5.0,po1000004535
3585,5.0,po1000008231
3586,5.0,po1000004159
3587,5.0,po1000004465
3588,5.0,po1000001079
3589,5.0,po1000002320
3590,5.0,po1000008147
3591,5.0,po1000008133
3592,5.0,po1000004498
3593,5.0,po1000000328
3594,5.0,po1000007453
3595,5.0,po1000005580
3596,5.0,po1000007462
3597,5.0,po1000008603
3598,5.0,po1000007603
3599,5.0,po1000007635
3600,5.0,po1000000180
3601,5.0,po1000000058
3602,5.0,po1000004565
3603,5.0,po1000010069
3604,5.0,po1000007638
3605,5.0,po1000004135
3606,5.0,po1000004421
3607,5.0,po1000004464
3608,5.0,po1000004154
3609,5.0,po1000001992
3610,5.0,po1000004459
3611,5.0,po1000004365
3612,5.0,po1000004945
3613,5.0,po1000009211
3614,5.0,po1000004582
3615,5.0,po1000009355
3616,5.0,po1000008148
3617,5.0,po1000004858
